features,label
0.0 0.0 -0.06100654602050781 0.002177625894546509 -0.10875141620635986 -0.026029765605926514 -0.13331568241119385 -0.07189416885375977 -0.15380644798278809 -0.10694804787635803 -0.11523234844207764 -0.1023932695388794 -0.14614039659500122 -0.14562848210334778 -0.16461455821990967 -0.1730053722858429 -0.18229305744171143 -0.20089784264564514 -0.09993183612823486 -0.1285780370235443 -0.13309186697006226 -0.1802348792552948 -0.15448486804962158 -0.21376171708106995 -0.17576342821121216 -0.24594612419605255 -0.07896184921264648 -0.14245596528053284 -0.1097712516784668 -0.19715365767478943 -0.1288253664970398 -0.23073509335517883 -0.14829397201538086 -0.26120373606681824 -0.050136029720306396 -0.1482304036617279 -0.07643264532089233 -0.19073548913002014 -0.0931892991065979 -0.21784469485282898 -0.11047476530075073 -0.2427220344543457,HELLO
0.0 0.0 -0.05969434976577759 0.012463212013244629 -0.11624497175216675 -0.006131649017333984 -0.15044307708740234 -0.051124632358551025 -0.17529577016830444 -0.09091013669967651 -0.13326048851013184 -0.08835911750793457 -0.17190057039260864 -0.12863588333129883 -0.19509372115135193 -0.15415850281715393 -0.21663817763328552 -0.17911899089813232 -0.11929357051849365 -0.11823973059654236 -0.1611168384552002 -0.16603150963783264 -0.188201904296875 -0.19659346342086792 -0.21419444680213928 -0.22526243329048157 -0.09837925434112549 -0.1352708339691162 -0.137243390083313 -0.18663069605827332 -0.16119158267974854 -0.21814203262329102 -0.18408676981925964 -0.2459399700164795 -0.06925296783447266 -0.1446499526500702 -0.09989511966705322 -0.18503913283348083 -0.12072688341140747 -0.2106497883796692 -0.14109939336776733 -0.23400703072547913,HELLO
0.0 0.0 -0.06048882007598877 0.006476163864135742 -0.10972511768341064 -0.015174835920333862 -0.13887053728103638 -0.05917078256607056 -0.16117596626281738 -0.09538981318473816 -0.12117809057235718 -0.09478700160980225 -0.15608501434326172 -0.13720133900642395 -0.17637979984283447 -0.16329318284988403 -0.19525623321533203 -0.18968790769577026 -0.10590147972106934 -0.12374189496040344 -0.14293962717056274 -0.17520126700401306 -0.16624802350997925 -0.20724239945411682 -0.18866324424743652 -0.237788125872612 -0.08510315418243408 -0.13977044820785522 -0.11849218606948853 -0.19398102164268494 -0.13976526260375977 -0.22673466801643372 -0.16034483909606934 -0.2560190260410309 -0.056408584117889404 -0.14818903803825378 -0.08267366886138916 -0.1910405158996582 -0.09989458322525024 -0.21835827827453613 -0.1175084114074707 -0.24335521459579468,HELLO
0.0 0.0 -0.0603485107421875 -0.00994110107421875 -0.10322403907775879 -0.0440821647644043 -0.12548714876174927 -0.09382027387619019 -0.14495158195495605 -0.1330265998840332 -0.10204905271530151 -0.12395048141479492 -0.12857794761657715 -0.17388013005256653 -0.14327681064605713 -0.20294588804244995 -0.15823549032211304 -0.23368710279464722 -0.08036863803863525 -0.14760518074035645 -0.10969340801239014 -0.20542016625404358 -0.1267545223236084 -0.23876038193702698 -0.14676272869110107 -0.2737210988998413 -0.055752694606781006 -0.15677398443222046 -0.08155965805053711 -0.21689695119857788 -0.09758275747299194 -0.2510513663291931 -0.11360132694244385 -0.2829155921936035 -0.02426046133041382 -0.15605175495147705 -0.04476577043533325 -0.20099198818206787 -0.05844545364379883 -0.23077034950256348 -0.07295304536819458 -0.259770929813385,HELLO
0.0 0.0 -0.05841618776321411 -0.018280327320098877 -0.10034549236297607 -0.0530724823474884 -0.12075406312942505 -0.10448896884918213 -0.13564711809158325 -0.15044865012168884 -0.09601205587387085 -0.13772788643836975 -0.11779600381851196 -0.189634770154953 -0.12870347499847412 -0.22086530923843384 -0.13950109481811523 -0.25593170523643494 -0.07331341505050659 -0.16035017371177673 -0.09639018774032593 -0.2209923267364502 -0.10959440469741821 -0.2579604983329773 -0.1252310872077942 -0.2988043278455734 -0.04846590757369995 -0.16759416460990906 -0.06815975904464722 -0.23005184531211853 -0.08003038167953491 -0.26744750142097473 -0.0921257734298706 -0.302705779671669 -0.017891407012939453 -0.16422566771507263 -0.034308791160583496 -0.21269649267196655 -0.04496484994888306 -0.24573180079460144 -0.05649787187576294 -0.2780241370201111,HELLO
0.0 0.0 -0.05177903175354004 -0.02617257833480835 -0.08786666393280029 -0.0676925778388977 -0.1009400486946106 -0.12379792332649231 -0.1005176305770874 -0.1699582040309906 -0.06929200887680054 -0.14869225025177002 -0.08176690340042114 -0.20254570245742798 -0.08520221710205078 -0.2346673607826233 -0.08722060918807983 -0.2697294354438782 -0.04325813055038452 -0.16566145420074463 -0.05598711967468262 -0.22916701436042786 -0.06058603525161743 -0.26624351739883423 -0.0664445161819458 -0.30797654390335083 -0.01879119873046875 -0.16669896245002747 -0.027752399444580078 -0.2292988896369934 -0.03268253803253174 -0.26717042922973633 -0.036348938941955566 -0.30278390645980835 0.01035308837890625 -0.15636298060417175 0.0024191737174987793 -0.20453789830207825 -0.002029895782470703 -0.23662209510803223 -0.006590723991394043 -0.2693149149417877,HELLO
0.0 0.0 -0.057311177253723145 -0.00907045602798462 -0.0982775092124939 -0.040294647216796875 -0.1192057728767395 -0.08904439210891724 -0.13864153623580933 -0.12866151332855225 -0.10013449192047119 -0.12338870763778687 -0.12540370225906372 -0.16974511742591858 -0.13877594470977783 -0.1975783109664917 -0.1524563431739807 -0.22874602675437927 -0.07922017574310303 -0.1478063464164734 -0.10673367977142334 -0.2014024257659912 -0.12185025215148926 -0.2329367697238922 -0.13999944925308228 -0.26867038011550903 -0.05601632595062256 -0.15679994225502014 -0.07865661382675171 -0.21285849809646606 -0.09371531009674072 -0.24528372287750244 -0.10831576585769653 -0.2763204276561737 -0.02509409189224243 -0.15588688850402832 -0.044440627098083496 -0.1978585124015808 -0.0578121542930603 -0.22559547424316406 -0.07212162017822266 -0.25413089990615845,HELLO
0.0 0.0 -0.05901157855987549 0.008026659488677979 -0.10792481899261475 -0.014093637466430664 -0.13648229837417603 -0.05759313702583313 -0.1560540795326233 -0.09873265027999878 -0.1158331036567688 -0.09604683518409729 -0.1481180191040039 -0.14195510745048523 -0.1666054129600525 -0.17157787084579468 -0.18367135524749756 -0.2011721432209015 -0.09816604852676392 -0.12479937076568604 -0.132432758808136 -0.17943602800369263 -0.15430563688278198 -0.21406340599060059 -0.17514604330062866 -0.24663637578487396 -0.07604163885116577 -0.14030423760414124 -0.10619187355041504 -0.19847190380096436 -0.1257404088973999 -0.23345036804676056 -0.14471441507339478 -0.2638455778360367 -0.04767352342605591 -0.14685124158859253 -0.06800884008407593 -0.19256699085235596 -0.08435624837875366 -0.22101670503616333 -0.10195684432983398 -0.24599407613277435,HELLO
0.0 0.0 -0.05482679605484009 0.00663381814956665 -0.10524636507034302 -0.015973806381225586 -0.1353479027748108 -0.05728060007095337 -0.15324771404266357 -0.09674984216690063 -0.11739093065261841 -0.09334355592727661 -0.14920133352279663 -0.13318616151809692 -0.1688063144683838 -0.1561676263809204 -0.18734776973724365 -0.17897802591323853 -0.1017182469367981 -0.1181756854057312 -0.13609075546264648 -0.16519218683242798 -0.15846526622772217 -0.19390654563903809 -0.17981767654418945 -0.22058045864105225 -0.07990986108779907 -0.13126099109649658 -0.11265122890472412 -0.18296515941619873 -0.1330956220626831 -0.21320456266403198 -0.15318381786346436 -0.23930564522743225 -0.05132889747619629 -0.1353127360343933 -0.07561492919921875 -0.17461013793945312 -0.09437453746795654 -0.1993471086025238 -0.11331057548522949 -0.2208574414253235,HELLO
0.0 0.0 -0.04551699757575989 0.04835817217826843 -0.10249418020248413 0.06021127104759216 -0.1474810242652893 0.04115554690361023 -0.1846003532409668 0.025750845670700073 -0.1481846272945404 -0.00390055775642395 -0.19881272315979004 -0.02380579710006714 -0.22934278845787048 -0.035010695457458496 -0.25703220069408417 -0.046798139810562134 -0.14442229270935059 -0.04301565885543823 -0.2031705677509308 -0.06607073545455933 -0.24135978519916534 -0.07836610078811646 -0.27579012513160706 -0.08980488777160645 -0.1307392716407776 -0.07452660799026489 -0.18716180324554443 -0.10078310966491699 -0.22270134091377258 -0.1149897575378418 -0.25520582497119904 -0.126677468419075 -0.1081673800945282 -0.10184808075428009 -0.15088090300559998 -0.12188205122947693 -0.18032369017601013 -0.13329258561134338 -0.20776882767677307 -0.14248287677764893,HELLO
0.0 0.0 -0.04529929161071777 0.05503079295158386 -0.10081177949905396 0.08117702603340149 -0.14710736274719238 0.0740329921245575 -0.18694192171096802 0.06355413794517517 -0.14994001388549805 0.02810719609260559 -0.20102480053901672 0.020793169736862183 -0.2305043637752533 0.015186518430709839 -0.2587175965309143 0.008097440004348755 -0.15092790126800537 -0.007999718189239502 -0.21027803421020508 -0.01761665940284729 -0.24576014280319214 -0.02351781725883484 -0.2782437652349472 -0.028635919094085693 -0.1411239504814148 -0.040962815284729004 -0.19966500997543335 -0.05169111490249634 -0.23534303903579712 -0.05872458219528198 -0.2666253298521042 -0.06425508856773376 -0.12102934718132019 -0.07562124729156494 -0.16735556721687317 -0.08339482545852661 -0.19784903526306152 -0.08670786023139954 -0.22504419088363647 -0.08801582455635071,HELLO
0.0 0.0 -0.051320791244506836 0.026383131742477417 -0.10256803035736084 0.025795668363571167 -0.1388484239578247 -0.00569760799407959 -0.16416394710540771 -0.0398007333278656 -0.12811541557312012 -0.04587468504905701 -0.1646362543106079 -0.07775017619132996 -0.18578356504440308 -0.10053321719169617 -0.20629900693893433 -0.12336605787277222 -0.11800885200500488 -0.07736808061599731 -0.15793311595916748 -0.11526170372962952 -0.18213576078414917 -0.14093753695487976 -0.20673078298568726 -0.16563627123832703 -0.10022622346878052 -0.09851503372192383 -0.13852477073669434 -0.13755673170089722 -0.16109192371368408 -0.16332432627677917 -0.1832835078239441 -0.1867193877696991 -0.07419604063034058 -0.11580619215965271 -0.10395735502243042 -0.14473146200180054 -0.12315177917480469 -0.16396701335906982 -0.14263880252838135 -0.18269065022468567,HELLO
0.0 0.0 -0.05562305450439453 0.016509413719177246 -0.10543447732925415 0.006201505661010742 -0.13897496461868286 -0.02542060613632202 -0.16662275791168213 -0.05284208059310913 -0.1266574263572693 -0.06178414821624756 -0.1653711199760437 -0.09524655342102051 -0.1874164342880249 -0.11522883176803589 -0.20723938941955566 -0.1346067190170288 -0.1143459677696228 -0.08959949016571045 -0.1551269292831421 -0.13016843795776367 -0.18062758445739746 -0.15344738960266113 -0.20274201035499573 -0.17444580793380737 -0.0951545238494873 -0.10838603973388672 -0.1320822834968567 -0.149932861328125 -0.15514224767684937 -0.17427381873130798 -0.17665690183639526 -0.19524502754211426 -0.068126380443573 -0.1206403374671936 -0.0977402925491333 -0.15531063079833984 -0.11776822805404663 -0.17371991276741028 -0.13717186450958252 -0.18871855735778809,HELLO
0.0 0.0 -0.05212724208831787 -0.008608579635620117 -0.09129869937896729 -0.039886653423309326 -0.10888618230819702 -0.08653026819229126 -0.122428297996521 -0.1265689730644226 -0.08855783939361572 -0.11732840538024902 -0.10904496908187866 -0.16988694667816162 -0.1182781457901001 -0.20299062132835388 -0.1262202262878418 -0.23608842492103577 -0.06628751754760742 -0.13973253965377808 -0.08763456344604492 -0.2003316879272461 -0.09761589765548706 -0.23633939027786255 -0.10794985294342041 -0.27297574281692505 -0.04304128885269165 -0.14767241477966309 -0.06100952625274658 -0.207052081823349 -0.07156729698181152 -0.24205103516578674 -0.08070546388626099 -0.27472901344299316 -0.013859868049621582 -0.14694583415985107 -0.02892887592315674 -0.1932229995727539 -0.039232730865478516 -0.22276261448860168 -0.05018121004104614 -0.2511070966720581,HELLO
0.0 0.0 -0.04904693365097046 -0.003555387258529663 -0.09696060419082642 -0.026157528162002563 -0.12379652261734009 -0.06268101930618286 -0.12636947631835938 -0.10384157299995422 -0.1007300615310669 -0.10745751857757568 -0.12116044759750366 -0.15548330545425415 -0.13048362731933594 -0.190435528755188 -0.1381455659866333 -0.2245989441871643 -0.08197557926177979 -0.12884199619293213 -0.10098987817764282 -0.17914867401123047 -0.1105811595916748 -0.21469616889953613 -0.11944341659545898 -0.2507825046777725 -0.059642791748046875 -0.1383531391620636 -0.07822614908218384 -0.18697038292884827 -0.08706021308898926 -0.22067753970623016 -0.09374165534973145 -0.2510991543531418 -0.03347623348236084 -0.1360122561454773 -0.0467187762260437 -0.1781698763370514 -0.053589582443237305 -0.20647549629211426 -0.059966981410980225 -0.2312835156917572,HELLO
0.0 0.0 -0.04288041591644287 -0.027288496494293213 -0.07710826396942139 -0.0719708800315857 -0.08628219366073608 -0.11922073364257812 -0.08380287885665894 -0.15995681285858154 -0.05376565456390381 -0.15580964088439941 -0.05601489543914795 -0.21362295746803284 -0.05156797170639038 -0.25129055976867676 -0.04669296741485596 -0.28846657276153564 -0.02633345127105713 -0.1698470115661621 -0.027077198028564453 -0.2367713451385498 -0.02279287576675415 -0.2785041928291321 -0.019075214862823486 -0.3199397325515747 -0.0010163187980651855 -0.16783630847930908 -0.00037026405334472656 -0.23293739557266235 0.0026773810386657715 -0.27346622943878174 0.0057141780853271484 -0.3089979290962219 0.025054931640625 -0.15250828862190247 0.024081885814666748 -0.20391619205474854 0.024097681045532227 -0.23815464973449707 0.023994088172912598 -0.27014678716659546,HELLO
0.0 0.0 -0.051886141300201416 -0.02221304178237915 -0.08900099992752075 -0.06112933158874512 -0.10456770658493042 -0.11380696296691895 -0.10642623901367188 -0.16016167402267456 -0.07478868961334229 -0.14013415575027466 -0.08861929178237915 -0.19400835037231445 -0.09130918979644775 -0.227837473154068 -0.09199708700180054 -0.2642039656639099 -0.04934936761856079 -0.15855997800827026 -0.06246060132980347 -0.222303569316864 -0.06684929132461548 -0.26092329621315 -0.07163649797439575 -0.30207982659339905 -0.023644089698791504 -0.16142821311950684 -0.03438830375671387 -0.22468438744544983 -0.039163947105407715 -0.26272279024124146 -0.04252833127975464 -0.2981293797492981 0.0059465765953063965 -0.15292298793792725 -0.002946794033050537 -0.20177066326141357 -0.008234918117523193 -0.23425588011741638 -0.013538360595703125 -0.26670217514038086,HELLO
0.0 0.0 -0.05338782072067261 -0.020363152027130127 -0.094105064868927 -0.05797839164733887 -0.11252683401107788 -0.11082255840301514 -0.1112479567527771 -0.15730446577072144 -0.08223778009414673 -0.14231792092323303 -0.09842169284820557 -0.19908368587493896 -0.10487830638885498 -0.23414313793182373 -0.10981184244155884 -0.2715989053249359 -0.05715054273605347 -0.16222918033599854 -0.07343995571136475 -0.2287718653678894 -0.08078545331954956 -0.27006740868091583 -0.08892619609832764 -0.31383116543293 -0.03155958652496338 -0.16664168238639832 -0.04561668634414673 -0.23155105113983154 -0.05282038450241089 -0.2722122520208359 -0.059338927268981934 -0.30996130406856537 -0.00164031982421875 -0.16022643446922302 -0.014048099517822266 -0.21005231142044067 -0.02159827947616577 -0.2438628375530243 -0.029400110244750977 -0.2771562784910202,HELLO
0.0 0.0 -0.05817359685897827 0.0031855106353759766 -0.10461604595184326 -0.018962383270263672 -0.1304948329925537 -0.06492462754249573 -0.14673197269439697 -0.10645776987075806 -0.10916948318481445 -0.0950016975402832 -0.13782387971878052 -0.14056485891342163 -0.1533605456352234 -0.17080843448638916 -0.16739767789840698 -0.20182949304580688 -0.0915067195892334 -0.12117883563041687 -0.12144571542739868 -0.17479535937309265 -0.13980668783187866 -0.21040281653404236 -0.15769267082214355 -0.24550610780715942 -0.06965088844299316 -0.13517791032791138 -0.09696829319000244 -0.18965965509414673 -0.11465072631835938 -0.22360950708389282 -0.13119041919708252 -0.2545851469039917 -0.041442036628723145 -0.14143094420433044 -0.06424897909164429 -0.18356949090957642 -0.0798567533493042 -0.21048974990844727 -0.09552794694900513 -0.23619195818901062,HELLO
0.0 0.0 -0.054071903228759766 -0.020991742610931396 -0.09204363822937012 -0.06007540225982666 -0.10752058029174805 -0.11204200983047485 -0.11161714792251587 -0.15797823667526245 -0.07955080270767212 -0.13732677698135376 -0.0960237979888916 -0.19301122426986694 -0.10151296854019165 -0.22815081477165222 -0.10503244400024414 -0.26431259512901306 -0.053913772106170654 -0.15548986196517944 -0.07015609741210938 -0.21901601552963257 -0.07735073566436768 -0.2587566673755646 -0.08464598655700684 -0.3003750443458557 -0.027607738971710205 -0.158647358417511 -0.04179590940475464 -0.22175142168998718 -0.04926192760467529 -0.26038748025894165 -0.05507701635360718 -0.29709917306900024 0.0021080970764160156 -0.15096741914749146 -0.010713517665863037 -0.19861173629760742 -0.01841878890991211 -0.230295330286026 -0.025809884071350098 -0.2621604800224304,HELLO
0.0 0.0 -0.057355403900146484 -0.012658834457397461 -0.10046416521072388 -0.04813188314437866 -0.12120717763900757 -0.09868302941322327 -0.1308421492576599 -0.14479714632034302 -0.09384560585021973 -0.12918320298194885 -0.11625629663467407 -0.18171361088752747 -0.12746548652648926 -0.21451866626739502 -0.13729000091552734 -0.24897471070289612 -0.07243585586547852 -0.15193453431129456 -0.09579473733901978 -0.21386057138442993 -0.10972678661346436 -0.2525297999382019 -0.1236962080001831 -0.29100340604782104 -0.04828345775604248 -0.16002130508422852 -0.06883889436721802 -0.22351527214050293 -0.0815209150314331 -0.26150593161582947 -0.0935434103012085 -0.2960764169692993 -0.018937528133392334 -0.15701812505722046 -0.03507232666015625 -0.20595261454582214 -0.04624795913696289 -0.23824256658554077 -0.05805391073226929 -0.26852214336395264,HELLO
0.0 0.0 -0.05607712268829346 -0.012871384620666504 -0.09608161449432373 -0.04540729522705078 -0.11668884754180908 -0.0932568907737732 -0.13349008560180664 -0.13251715898513794 -0.09722757339477539 -0.12677085399627686 -0.12039417028427124 -0.17552542686462402 -0.1318334937095642 -0.20496875047683716 -0.14287567138671875 -0.2378501296043396 -0.07546013593673706 -0.15142321586608887 -0.1015554666519165 -0.20829987525939941 -0.11497855186462402 -0.24141409993171692 -0.13123494386672974 -0.27872616052627563 -0.052346765995025635 -0.16028785705566406 -0.07378870248794556 -0.21932315826416016 -0.08770889043807983 -0.25258150696754456 -0.10068356990814209 -0.28397807478904724 -0.021441400051116943 -0.15896785259246826 -0.0407598614692688 -0.20467224717140198 -0.053619563579559326 -0.23351824283599854 -0.06788921356201172 -0.2623458504676819,HELLO
0.0 0.0 -0.053098082542419434 -0.02688455581665039 -0.09043574333190918 -0.06789642572402954 -0.1054956316947937 -0.12201917171478271 -0.10793900489807129 -0.16937309503555298 -0.07544600963592529 -0.1476815938949585 -0.08957856893539429 -0.20225569605827332 -0.09344005584716797 -0.23652219772338867 -0.09560579061508179 -0.27352195978164673 -0.04934948682785034 -0.16601428389549255 -0.06305968761444092 -0.22918522357940674 -0.0674518346786499 -0.2669181823730469 -0.0727890133857727 -0.3084906339645386 -0.024297714233398438 -0.16825640201568604 -0.03503209352493286 -0.23079949617385864 -0.04077017307281494 -0.26849639415740967 -0.044757962226867676 -0.30295899510383606 0.005215167999267578 -0.1589265763759613 -0.004991412162780762 -0.20757433772087097 -0.011323034763336182 -0.23956134915351868 -0.01743859052658081 -0.27131056785583496,HELLO
0.0 0.0 -0.05392265319824219 -0.025524675846099854 -0.09329622983932495 -0.06768092513084412 -0.10787266492843628 -0.12448874115943909 -0.1048995852470398 -0.17038187384605408 -0.07750087976455688 -0.15156644582748413 -0.09179770946502686 -0.2072744071483612 -0.09622299671173096 -0.2416004240512848 -0.09970247745513916 -0.2783065736293793 -0.051885366439819336 -0.17034876346588135 -0.06579655408859253 -0.23610356450080872 -0.0715017318725586 -0.27547258138656616 -0.07858854532241821 -0.3177221864461899 -0.026453793048858643 -0.17256909608840942 -0.03735935688018799 -0.23910772800445557 -0.0431591272354126 -0.27908867597579956 -0.04797554016113281 -0.31564363837242126 0.003945589065551758 -0.16296228766441345 -0.005913078784942627 -0.21412283182144165 -0.011876463890075684 -0.2480601966381073 -0.017993450164794922 -0.2814825475215912,HELLO
